round,match_date,kickoff_at_utc,team1,team2,score_team1,score_team2,group_name,ground
Matchday 17,2026-06-27,2026-06-27T21:00:00Z,Panama,England,0,2,Group L,New York/New Jersey (East Rutherford)
Matchday 17,2026-06-27,2026-06-27T21:00:00Z,Croatia,Ghana,2,1,Group L,Philadelphia
Round of 32,2026-06-28,2026-06-28T19:00:00Z,South Africa,Canada,0,1,,Los Angeles (Inglewood)
Round of 32,2026-06-29,2026-06-29T20:30:00Z,Germany,Paraguay,1,1,,Boston (Foxborough)
Round of 32,2026-06-29,2026-06-30T01:00:00Z,Netherlands,Morocco,1,1,,Monterrey (Guadalupe)
Round of 32,2026-06-29,2026-06-29T17:00:00Z,Brazil,Japan,2,1,,Houston
Round of 32,2026-06-30,2026-06-30T21:00:00Z,France,Sweden,3,0,,New York/New Jersey (East Rutherford)
Round of 32,2026-06-30,2026-06-30T17:00:00Z,Ivory Coast,Norway,1,2,,Dallas (Arlington)
Round of 32,2026-06-30,2026-07-01T01:00:00Z,Mexico,Ecuador,2,0,,Mexico City
Round of 32,2026-07-01,2026-07-01T16:00:00Z,England,DR Congo,2,1,,Atlanta
Round of 32,2026-07-01,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,2,0,,San Francisco Bay Area (Santa Clara)
Round of 32,2026-07-01,2026-07-01T20:00:00Z,Belgium,Senegal,2,2,,Seattle
Round of 32,2026-07-02,2026-07-02T23:00:00Z,Portugal,Croatia,2,1,,Toronto
Round of 32,2026-07-02,2026-07-02T19:00:00Z,Spain,Austria,3,0,,Los Angeles (Inglewood)
Round of 32,2026-07-02,2026-07-03T03:00:00Z,Switzerland,Algeria,2,0,,Vancouver
Round of 32,2026-07-03,2026-07-03T22:00:00Z,Argentina,Cape Verde,1,1,,Miami (Miami Gardens)
Round of 32,2026-07-03,2026-07-04T01:30:00Z,Colombia,Ghana,1,0,,Kansas City
Round of 32,2026-07-03,2026-07-03T18:00:00Z,Australia,Egypt,1,1,,Dallas (Arlington)
